Rank,Player,Age,GP,MIN,ORTG,DRTG,NRTG,USG%,TS%,eFG%,,,,
1,"ニック・ケイ
島根 - C/PF",33,39,1205.8,114.40,106.99,7.41,20.85%,67.53%,62.93%,26.34%,38.29%,2.74,21.12%
2,"ダバンテ・ガードナー
三河 - C/PF",34,39,1204.0,121.91,107.77,14.14,23.31%,65.55%,61.04%,31.08%,30.41%,2.26,21.14%
3,"ショーン・オマラ
FE名古屋 - C",30,38,1203.6,111.27,111.45,-0.17,20.85%,61.68%,58.07%,0.00%,41.41%,1.34,18.38%
4,"デレク・パードン
A千葉 - C/PF",29,39,1203.5,107.59,115.28,-7.69,17.03%,66.32%,62.54%,2.47%,55.48%,1.45,19.88%
5,"ジャレット・カルバー
仙台 - SG/SF",27,39,1203.1,114.36,110.66,3.70,37.23%,58.93%,52.98%,39.89%,37.12%,1.21,22.45%
6,"デイビッド・ダジンスキー
佐賀 - C/PF",34,39,1182.3,113.69,112.56,1.12,21.58%,61.09%,56.19%,33.26%,32.57%,3.44,14.34%
7,"D.J・ニュービル
宇都宮 - PG/SG",34,38,1174.1,121.00,110.32,10.68,27.71%,62.13%,60.34%,61.86%,27.13%,2.68,39.00%
8,"安藤 誓哉
横浜BC - PG",33,39,1168.0,107.37,118.77,-11.41,23.97%,55.91%,52.49%,57.58%,17.32%,1.61,21.03%
9,"ジョシュ・ホーキンソン
SR渋谷 - C/PF",30,39,1161.8,110.43,115.16,-4.74,24.52%,60.24%,54.95%,35.27%,30.75%,1.60,15.02%
10,"アーロン・ヘンリー
名古屋D - SF",26,38,1157.8,112.44,96.11,16.33,26.79%,54.56%,51.27%,35.21%,25.23%,1.72,24.07%
11,"保岡 龍斗
FE名古屋 - SG/SF",31,39,1139.5,112.24,111.01,1.23,16.94%,56.74%,53.70%,63.91%,19.82%,2.08,15.20%
12,"アンソニー・クレモンズ
越谷 - PG",31,39,1130.0,100.39,108.96,-8.57,24.75%,57.72%,54.95%,51.38%,27.65%,1.95,28.40%
13,"エリック・ジェイコブセン
茨城 - C/PF",31,39,1125.5,106.28,108.52,-2.24,20.41%,65.41%,62.82%,10.13%,54.75%,1.49,19.19%
14,"ダミアン・イングリス
横浜BC - C/PF",31,38,1120.8,111.55,115.29,-3.75,29.85%,54.68%,51.55%,13.15%,24.76%,1.81,33.33%
15,"ジャリル・オカフォー
北海道 - C",30,39,1120.2,120.10,114.38,5.72,22.58%,67.11%,64.95%,5.03%,36.93%,1.62,21.78%
16,"イ ヒョンジュン
長崎 - SG/SF",25,39,1115.8,124.36,99.22,25.14,20.03%,74.94%,73.46%,66.17%,24.69%,2.36,15.28%
17,"ジャレル・ブラントリー
長崎 - PF",29,39,1113.0,120.73,98.87,21.86,27.54%,53.37%,50.57%,43.87%,19.92%,2.22,28.46%
18,"岡田 侑大
島根 - PG/SG",27,35,1111.0,113.78,110.87,2.91,25.10%,57.81%,54.37%,50.90%,22.65%,1.92,30.78%
19,"中山 拓哉
秋田 - PG/SG",31,37,1103.9,100.43,117.34,-16.91,16.83%,45.78%,41.55%,59.12%,20.95%,2.10,24.44%
20,"角田 太輝
佐賀 - SG",26,39,1095.4,110.70,112.78,-2.08,21.83%,45.77%,42.20%,64.02%,16.40%,2.38,35.27%
21,"デイビッド・ヌワバ
三遠 - SG/SF",33,35,1093.8,116.18,113.01,3.17,27.93%,61.28%,57.24%,26.57%,52.27%,1.69,24.67%
22,"ロバート・フランクス
茨城 - SF/PF",29,35,1080.8,107.04,113.11,-6.06,24.32%,62.66%,59.93%,45.28%,27.85%,1.51,21.11%
23,"馬場 雄大
長崎 - SG/SF",30,39,1079.4,121.30,99.62,21.69,18.76%,63.76%,60.36%,48.82%,28.99%,2.08,19.62%
24,"セバスチャン・サイズ
A東京 - C/PF",31,39,1074.3,114.97,109.33,5.64,27.18%,62.56%,58.75%,10.07%,37.86%,1.06,9.94%
25,"ドンテ・グランタム
SR渋谷 - PF",31,38,1071.6,109.49,115.69,-6.20,23.63%,58.80%,54.77%,30.15%,28.64%,1.71,22.21%
26,"ドウェイン・エバンス
広島 - SF/PF",34,39,1063.1,118.28,112.48,5.80,28.04%,57.00%,53.85%,30.77%,44.40%,2.02,35.45%
27,"マーカス・フォスター
A東京 - SG",30,39,1057.6,113.17,109.33,3.84,30.13%,55.52%,53.94%,48.72%,24.65%,1.59,24.26%
28,"ブロック・モータム
富山 - PF",35,37,1054.9,109.34,117.93,-8.59,26.52%,57.95%,55.34%,35.89%,22.18%,1.19,21.54%
29,"アイザック・フォトゥ
宇都宮 - PF",32,39,1053.3,120.51,110.49,10.02,23.67%,65.15%,64.78%,16.31%,34.99%,1.83,13.28%
30,"游 艾喆
滋賀 - PG",24,39,1047.7,108.30,115.55,-7.25,16.31%,51.91%,50.73%,47.45%,8.39%,3.16,47.36%
31,"ジェイク・レイマン
三河 - SF/PF",32,39,1044.8,119.09,112.33,6.76,22.64%,64.36%,62.47%,55.38%,28.08%,1.15,11.72%
32,"スタンリー・ジョンソン
長崎 - SF",30,39,1040.6,123.25,100.91,22.34,38.18%,58.01%,53.17%,46.46%,31.83%,1.31,23.83%
33,"ザック・オーガスト
滋賀 - C/PF",32,38,1033.2,106.21,116.09,-9.88,31.59%,57.56%,57.04%,22.74%,42.45%,0.79,19.61%
34,"富樫 勇樹
千葉J - PG",32,39,1031.8,118.10,106.29,11.81,20.94%,52.82%,49.28%,69.63%,17.48%,2.39,34.00%
35,"渡邊 雄太
千葉J - SF/PF",31,39,1030.9,117.57,105.76,11.81,23.79%,53.78%,49.75%,43.67%,32.26%,1.26,13.69%
36,"クリストファー・スミス
広島 - SG/SF",32,39,1027.2,117.32,115.58,1.74,30.10%,63.18%,56.90%,56.26%,46.92%,1.92,23.86%
37,"比江島 慎
宇都宮 - SG",35,39,1025.6,121.32,110.98,10.34,21.66%,56.03%,53.10%,55.75%,35.99%,2.37,33.13%
38,"エマニュエル・テリー
川崎 - C/PF",29,39,1023.0,103.05,116.39,-13.34,17.14%,66.99%,65.71%,11.79%,25.36%,1.54,14.06%
39,"田中 大貴
SR渋谷 - SG",34,37,1017.8,111.53,115.58,-4.05,17.05%,50.91%,49.20%,40.76%,7.32%,3.25,20.27%
40,"ライアン・クリーナー
滋賀 - PF",28,36,1017.7,110.36,114.45,-4.09,22.22%,63.47%,60.03%,31.75%,30.08%,1.12,19.10%
41,"マット・ボンズ
大阪 - PF",30,31,1017.6,111.27,114.92,-3.65,31.22%,58.34%,53.50%,36.55%,33.90%,1.37,19.32%
42,"ヤニー・ウェッツェル
秋田 - C/PF",29,35,1015.1,101.45,115.66,-14.21,26.22%,56.49%,53.43%,16.31%,34.28%,1.50,19.31%
43,"富永 啓生
北海道 - SG",25,39,1010.2,120.79,114.20,6.59,32.18%,56.08%,51.83%,43.65%,25.04%,1.22,16.30%
44,"ディー・ジェイ・ホグ
千葉J - SF/PF",29,36,1007.8,116.56,106.26,10.30,25.30%,57.57%,54.46%,55.90%,23.86%,1.71,24.89%
45,"ネイサン・ブース
仙台 - C/PF",32,39,1000.5,113.19,107.34,5.85,19.05%,63.96%,60.86%,46.48%,15.60%,2.04,21.60%
46,"阿部 諒
佐賀 - SG",31,39,1000.4,109.70,110.80,-1.10,21.49%,46.23%,41.82%,41.96%,24.40%,2.40,33.70%
47,"トーマス・ウィンブッシュ
滋賀 - SF/PF",32,39,997.9,105.96,117.66,-11.70,29.73%,56.66%,47.33%,47.44%,54.57%,0.53,9.32%
48,"ジョーダン・ヒース
京都 - C/PF",34,36,992.3,98.28,110.08,-11.81,18.19%,50.28%,51.01%,58.92%,21.55%,1.08,10.71%
49,"ドワイト・ラモス
北海道 - SG/SF",27,39,991.5,123.25,112.04,11.21,22.46%,55.82%,52.62%,36.65%,29.06%,2.09,23.01%
50,"ギャビン・エドワーズ
宇都宮 - PF",38,37,987.8,122.27,108.83,13.43,19.65%,61.84%,59.84%,54.43%,39.02%,1.05,10.67%
51,"今村 佳太
名古屋D - SG/SF",30,39,985.1,112.81,98.03,14.78,20.81%,46.09%,44.00%,61.25%,12.50%,2.49,20.98%
52,"岡田 雄三
富山 - PG",30,39,984.1,105.97,117.36,-11.39,15.44%,44.85%,41.70%,56.52%,24.11%,2.51,32.70%
53,"ケリー・ブラックシアー・ジュニア
群馬 - C/PF",29,38,980.4,123.29,105.34,17.95,24.01%,69.44%,62.87%,17.66%,58.38%,2.71,30.61%
54,"大浦 颯太
三遠 - PG",28,39,977.2,113.45,115.10,-1.66,20.20%,49.85%,44.98%,64.72%,24.27%,2.92,43.54%
55,"ドゥシャン・リスティッチ
川崎 - C",30,39,976.1,104.50,113.87,-9.37,23.38%,62.66%,61.44%,31.62%,12.34%,1.36,14.34%
56,"ジャック・クーリー
琉球 - C",35,39,975.8,115.55,104.37,11.18,20.33%,61.11%,54.76%,1.27%,54.92%,1.95,15.48%
57,"スコット・エサトン
名古屋D - C/PF",34,39,973.5,112.79,99.39,13.40,18.39%,62.48%,60.19%,15.12%,28.70%,2.37,17.06%
58,"津山 尚大
川崎 - PG/SG",30,39,961.7,105.00,115.48,-10.48,21.89%,48.92%,47.32%,64.61%,11.26%,1.45,13.75%
59,"ライアン・ロシター
A東京 - C/PF",36,34,941.8,114.31,107.37,6.93,14.89%,58.28%,54.29%,25.25%,48.48%,3.60,35.79%
60,"コフィ・コーバーン
広島 - C",26,36,940.9,118.23,110.04,8.19,28.08%,62.79%,61.73%,0.00%,43.95%,0.75,14.00%
61,"齋藤 拓実
名古屋D - PG",30,39,940.1,112.92,99.45,13.47,22.11%,57.64%,55.27%,53.24%,17.84%,2.89,41.42%
62,"キアヌ・ピンダー
秋田 - C/PF",31,37,934.8,100.86,116.93,-16.06,32.51%,52.31%,48.70%,36.53%,28.54%,0.89,14.43%
63,"ジェレミー・ジョーンズ
FE名古屋 - SF",29,34,931.0,110.03,109.66,0.37,16.93%,57.57%,54.26%,61.63%,25.19%,1.82,18.38%
64,"ライアン・ルーサー
大阪 - C/PF",30,35,928.5,112.46,113.14,-0.69,27.89%,57.66%,54.82%,35.87%,20.63%,1.50,20.97%
65,"三谷 桂司朗
広島 - SF",24,39,926.4,119.93,109.75,10.18,15.54%,54.24%,52.45%,69.06%,16.23%,0.96,5.90%
66,"ジャモルコ・ピケット
FE名古屋 - SF/PF",28,39,923.9,105.80,114.91,-9.11,26.68%,55.44%,49.21%,41.95%,37.73%,0.81,15.59%
67,"杉本 慶
A千葉 - PG",33,39,923.6,108.66,114.77,-6.12,15.97%,53.59%,50.71%,39.34%,18.96%,2.06,32.58%
68,"細川 一輝
群馬 - SG",28,39,917.5,119.84,107.14,12.70,14.94%,55.27%,55.06%,82.19%,1.62%,1.75,8.59%
