順位,選手,クラブ,2NDPTS,FBPS,PITP,%PTSFT,%PTSPITP,EFG%,TS%,%PTS2PT,%FGA2PT,%PTS3PT,%FGA3PT,AST/TO,%PTS,%FGM,%FGA,%3PM,%3PA,%FTM,%FTA,%OREB,%DREB,%REB,%AST,%TOV,%STL,%BLK,%BLKA,%PF,%PFD
1,"ジャック・クーリー
#45C",琉球,205,28,330,27.8%,69.0%,54.8%,61.1%,71.5%,98.7%,0.6%,1.3%,2.0,15.0%,15.0%,11.9%,0.3%,0.4%,15.0%,11.9%,26.9%,19.5%,22.2%,9.6%,8.1,11.9,30.8%,23.3%,10.6%,22.0%
2,"コフィ・コーバーン
#23C",広島,184,46,498,17.6%,82.0%,61.7%,62.8%,82.4%,100.0%,0.0%,0.0%,0.8,18.1%,21.1%,15.7%,0.0%,0.0%,21.1%,15.7%,28.4%,19.7%,22.5%,8.6%,18.0,8.0,17.0%,18.7%,7.6%,19.0%
3,"アイザック・フォトゥ
#42PF",宇都宮,154,91,466,13.8%,73.3%,64.8%,65.1%,77.7%,83.7%,8.5%,16.3%,1.9,19.2%,22.1%,16.4%,3.8%,5.1%,22.1%,16.4%,23.2%,16.0%,18.4%,9.0%,9.1,8.8,5.8%,17.2%,10.6%,21.8%
4,"ショーン・オマラ
#54C",FE名古屋,138,97,426,20.4%,76.1%,58.1%,61.7%,79.6%,100.0%,0.0%,0.0%,1.3,17.8%,19.4%,14.8%,0.0%,0.0%,19.4%,14.8%,28.8%,25.4%,26.5%,13.8%,15.2,12.1,33.0%,19.0%,12.5%,27.5%
5,"エリック・ジェイコブセン
#21C/PF",茨城,135,78,358,22.6%,69.8%,62.8%,65.4%,73.3%,89.9%,4.1%,10.1%,1.5,17.5%,17.9%,13.0%,2.3%,3.3%,17.9%,13.0%,30.5%,22.2%,24.6%,13.9%,13.7,12.8,25.8%,13.6%,11.3%,21.4%
5,"マット・ボンズ
#5PF",大阪,135,169,378,20.2%,53.4%,53.5%,58.3%,55.6%,63.4%,24.2%,36.6%,1.4,22.8%,22.4%,20.6%,16.6%,17.6%,22.4%,20.6%,14.5%,19.8%,18.0%,12.3%,14.3,15.0,7.2%,22.1%,7.7%,24.3%
7,"ジャリル・オカフォー
#22C",北海道,132,75,458,16.7%,73.8%,64.9%,67.1%,80.8%,95.0%,2.4%,5.0%,1.6,18.1%,20.1%,15.1%,1.6%,2.3%,20.1%,15.1%,21.0%,20.7%,20.8%,15.4%,16.7,3.7,11.2%,14.3%,6.1%,17.4%
8,"アレックス・カーク
#53C",琉球,130,36,300,16.5%,72.8%,62.5%,64.9%,83.5%,98.2%,0.0%,1.8%,1.9,13.0%,15.0%,10.4%,0.0%,0.4%,15.0%,10.4%,16.3%,14.4%,15.1%,6.9%,6.3,3.7,30.0%,8.9%,6.4%,11.3%
8,"ジョシュ・ホーキンソン
#8C/PF",SR渋谷,130,62,272,19.7%,42.8%,55.1%,60.4%,50.6%,64.9%,29.7%,35.1%,1.6,21.5%,20.9%,18.2%,19.6%,16.3%,20.9%,18.2%,14.6%,24.5%,21.2%,11.1%,12.0,7.8,30.3%,16.7%,9.1%,23.3%
10,"デレク・パードン
#7C/PF",A千葉,127,82,350,24.2%,74.9%,62.5%,66.3%,75.8%,97.5%,0.0%,2.5%,1.5,15.2%,15.4%,11.2%,0.0%,0.8%,15.4%,11.2%,22.4%,23.4%,23.1%,15.1%,14.3,12.7,27.3%,7.1%,8.4%,21.9%
11,"ジョン・ハーラー
#21C/PF",北海道,121,112,300,23.5%,72.6%,57.0%,61.1%,76.5%,100.0%,0.0%,0.0%,1.7,12.0%,12.4%,10.5%,0.0%,0.0%,12.4%,10.5%,25.9%,19.5%,21.7%,10.5%,11.0,12.6,25.5%,16.2%,11.0%,14.9%
11,"ザック・オーガスト
#0C/PF",滋賀,121,168,456,16.5%,67.2%,57.0%,57.6%,68.9%,77.3%,14.6%,22.7%,0.8,21.7%,23.7%,19.6%,9.0%,9.8%,23.7%,19.6%,18.8%,24.5%,22.7%,13.0%,21.4,20.4,26.2%,21.1%,14.1%,25.6%
11,"ケリー・ブラックシアー・ジュニア
#8C/PF",群馬,121,89,316,28.0%,54.2%,62.9%,69.4%,58.7%,82.3%,13.4%,17.7%,2.7,18.1%,17.2%,13.5%,6.3%,5.1%,17.2%,13.5%,20.8%,19.9%,20.2%,18.9%,13.3,17.2,20.2%,13.1%,14.6%,30.4%
