順位,クラブ,勝,負,勝率,差,得点,失点,得失点差,"ホーム
（W-L）","アウェー
（W-L）",過去5試合,連勝/連敗,地区優勝,対戦成績,
1,"
宇都宮ブレックス",29,10,0.744,--,3320,3095,225,17-6,12-4,3-2,W2,--,詳細,宇都宮
2,"
アルバルク東京",27,12,0.692,2,3131,2996,135,14-6,13-6,4-1,W2,--,詳細,A東京
3,"
千葉ジェッツ",27,12,0.692,2,3205,2955,250,16-4,11-8,2-3,L2,--,詳細,千葉J
4,"
レバンガ北海道",27,12,0.692,2,3437,3312,125,13-4,14-8,1-4,L1,--,詳細,北海道
5,"
群馬クレインサンダーズ",24,15,0.615,5,3218,2923,295,13-5,11-10,3-2,L2,--,詳細,群馬
6,"
仙台89ERS",23,16,0.590,6,3124,3068,56,14-7,9-9,3-2,W1,--,詳細,仙台
7,"
サンロッカーズ渋谷",16,23,0.410,13,2958,3139,-181,9-10,7-13,2-3,W1,--,詳細,SR渋谷
8,"
横浜ビー・コルセアーズ",15,24,0.385,14,3051,3192,-141,8-9,7-15,3-2,W2,--,詳細,横浜BC
9,"
越谷アルファーズ",15,24,0.385,14,2851,3098,-247,8-13,7-11,3-2,L1,--,詳細,越谷
10,"
茨城ロボッツ",12,27,0.308,17,2934,3112,-178,6-12,6-15,3-2,W3,--,詳細,茨城
11,"
アルティーリ千葉",12,27,0.308,17,3075,3259,-184,5-15,7-12,2-3,L2,--,詳細,A千葉
12,"
川崎ブレイブサンダース",9,30,0.231,20,2955,3291,-336,4-18,5-12,0-5,L5,--,詳細,川崎
13,"
秋田ノーザンハピネッツ",7,32,0.179,22,2852,3303,-451,5-16,2-16,1-4,L4,--,詳細,秋田
