順位,クラブ,勝,負,勝率,差,得点,失点,得失点差,"ホーム
（W-L）","アウェー
（W-L）",過去5試合,連勝/連敗,地区優勝,対戦成績,
1,"
長崎ヴェルカ",33,6,0.846,--,3626,3031,595,18-1,15-5,4-1,W3,M18,詳細,長崎
2,"
名古屋ダイヤモンドドルフィンズ",30,9,0.769,3,3252,2838,414,15-4,15-5,3-2,L1,--,詳細,名古屋D
3,"
シーホース三河",26,13,0.667,7,3277,3061,216,12-7,14-6,4-1,W1,--,詳細,三河
4,"
琉球ゴールデンキングス",26,13,0.667,7,3180,2920,260,8-8,18-5,4-1,W4,--,詳細,琉球
5,"
広島ドラゴンフライズ",23,16,0.590,10,3353,3238,115,9-8,14-8,4-1,W4,--,詳細,広島
6,"
佐賀バルーナーズ",21,18,0.538,12,3177,3187,-10,11-9,10-9,2-3,L2,--,詳細,佐賀
7,"
島根スサノオマジック",21,18,0.538,12,3195,3140,55,9-9,12-9,3-2,L1,--,詳細,島根
8,"
三遠ネオフェニックス",20,19,0.513,13,3245,3206,39,14-8,6-11,4-1,W4,--,詳細,三遠
9,"
大阪エヴェッサ",15,24,0.385,18,3107,3185,-78,7-13,8-11,0-5,L5,--,詳細,大阪
10,"
ファイティングイーグルス名古屋",15,24,0.385,18,3151,3228,-77,6-13,9-11,2-3,L3,--,詳細,FE名古屋
11,"
滋賀レイクス",13,26,0.333,20,3136,3381,-245,8-12,5-14,2-3,L3,--,詳細,滋賀
12,"
京都ハンナリーズ",11,28,0.282,22,2788,3143,-355,8-13,3-15,2-3,W2,--,詳細,京都
13,"
富山グラウジーズ",10,29,0.256,23,3207,3504,-297,4-16,6-13,1-4,W1,--,詳細,富山
