順位,クラブ,試合数,得点・失点,,フィールドゴール,,,2Pt,,,3Pt,,,フリースロー,,,リバウンド,,,アシスト,ターンオーバー,スティール,ブロック,,ファウル,,貢献度,,得点・失点,,フィールドゴール,,,2Pt,,,3Pt,,,フリースロー,,,リバウンド,,,アシスト,ターンオーバー,スティール,ブロック,,ファウル,,貢献度,得点・失点,,フィールドゴール,,,2Pt,,,3Pt,,,フリースロー,,,リバウンド,,,アシスト,ターンオーバー,スティール,ブロック,,ファウル,,貢献度
,,G,PTS,OPPPTS,FGM,FGA,FG%,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,EFF,,PTS,OPPPTS,FGM,FGA,FG%,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,EFF,PTS,OPPPTS,FGM,FGA,FG%,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,EFF
1,"
長崎ヴェルカ",39,3626,3031,1286,2704,47.6%,770,1363,56.5%,516,1341,38.5%,538,703,76.5%,426,1047,1473,914,479,361,94,100,808,783,4157,長崎,93.0,77.7,33.0,69.3,47.6%,19.7,34.9,56.5%,13.2,34.4,38.5%,13.8,18.0,76.5%,10.9,26.8,37.8,23.4,12.3,9.3,2.4,2.6,20.7,20.1,106.6,1,6,1,2,2,13,21,3,1,2,1,6,6,6,19,4,11,1,11,1,16,14,18,6,1
2,"
レバンガ北海道",39,3437,3312,1272,2639,48.2%,965,1766,54.6%,307,873,35.2%,586,786,74.6%,514,990,1504,799,456,246,98,105,759,800,3868,北海道,88.1,84.9,32.6,67.7,48.2%,24.7,45.3,54.6%,7.9,22.4,35.2%,15.0,20.2,74.6%,13.2,25.4,38.6,20.5,11.7,6.3,2.5,2.7,19.5,20.5,99.2,2,24,2,5,1,1,1,8,24,26,4,3,4,10,4,15,9,13,6,18,14,20,15,4,2
3,"
広島ドラゴンフライズ",39,3353,3238,1187,2587,45.9%,773,1379,56.1%,414,1208,34.3%,565,812,69.6%,507,1046,1553,771,479,224,100,91,774,812,3689,広島,86.0,83.0,30.4,66.3,45.9%,19.8,35.4,56.1%,10.6,31.0,34.3%,14.5,20.8,69.6%,13.0,26.8,39.8,19.8,12.3,5.7,2.6,2.3,19.8,20.8,94.6,3,20,5,7,7,11,20,4,4,4,8,4,3,21,7,5,6,18,11,23,13,9,16,3,8
4,"
宇都宮ブレックス",39,3320,3095,1197,2582,46.4%,720,1228,58.6%,477,1354,35.2%,449,682,65.8%,501,1016,1517,870,460,250,86,87,689,775,3811,宇都宮,85.1,79.4,30.7,66.2,46.4%,18.5,31.5,58.6%,12.2,34.7,35.2%,11.5,17.5,65.8%,12.8,26.1,38.9,22.3,11.8,6.4,2.2,2.2,17.7,19.9,97.7,4,9,3,8,4,23,26,2,2,1,4,21,12,25,8,13,7,2,9,17,20,6,5,10,4
5,"
シーホース三河",39,3277,3061,1177,2522,46.7%,759,1290,58.8%,418,1232,33.9%,505,646,78.2%,412,1019,1431,817,419,238,94,103,688,741,3733,三河,84.0,78.5,30.2,64.7,46.7%,19.5,33.1,58.8%,10.7,31.6,33.9%,12.9,16.6,78.2%,10.6,26.1,36.7,20.9,10.7,6.1,2.4,2.6,17.6,19.0,95.7,5,7,6,16,3,16,25,1,3,3,11,12,19,3,23,11,17,11,1,20,16,17,4,16,7
6,"
名古屋ダイヤモンドドルフィンズ",39,3252,2838,1192,2775,43.0%,822,1658,49.6%,370,1117,33.1%,498,691,72.1%,597,1061,1658,853,481,354,122,100,716,744,3778,名古屋D,83.4,72.8,30.6,71.2,43.0%,21.1,42.5,49.6%,9.5,28.6,33.1%,12.8,17.7,72.1%,15.3,27.2,42.5,21.9,12.3,9.1,3.1,2.6,18.4,19.1,96.9,6,1,4,1,22,4,3,22,12,11,16,13,8,16,2,3,1,4,13,2,2,14,8,14,6
7,"
三遠ネオフェニックス",39,3245,3206,1138,2513,45.3%,760,1406,54.1%,378,1107,34.1%,591,862,68.6%,497,930,1427,799,508,293,116,92,874,872,3465,三遠,83.2,82.2,29.2,64.4,45.3%,19.5,36.1,54.1%,9.7,28.4,34.1%,15.2,22.1,68.6%,12.7,23.8,36.6,20.5,13.0,7.5,3.0,2.4,22.4,22.4,88.8,7,18,15,18,11,15,15,10,9,13,10,2,2,23,9,24,18,13,16,6,5,10,25,1,13
8,"
群馬クレインサンダーズ",39,3218,2923,1145,2469,46.4%,732,1310,55.9%,413,1159,35.6%,515,647,79.6%,447,957,1404,851,450,256,104,84,667,782,3820,群馬,82.5,74.9,29.4,63.3,46.4%,18.8,33.6,55.9%,10.6,29.7,35.6%,13.2,16.6,79.6%,11.5,24.5,36.0,21.8,11.5,6.6,2.7,2.2,17.1,20.1,97.9,8,3,13,24,4,22,24,5,5,6,3,10,18,2,16,19,20,5,4,16,9,4,2,7,3
9,"
富山グラウジーズ",39,3207,3504,1150,2643,43.5%,874,1725,50.7%,276,918,30.1%,631,869,72.6%,541,1018,1559,756,548,292,84,130,941,833,3226,富山,82.2,89.8,29.5,67.8,43.5%,22.4,44.2,50.7%,7.1,23.5,30.1%,16.2,22.3,72.6%,13.9,26.1,40.0,19.4,14.1,7.5,2.2,3.3,24.1,21.4,82.7,9,26,10,4,20,2,2,21,26,24,26,1,1,14,3,12,4,23,22,7,22,25,26,2,19
