順位,クラブ,得点,,,,,,シュート,,2Pt,,3Pt,,アシスト,ポゼッション,,レーティング,,,,,得点,,,,得点,,,,,,ポゼッション,,レーティング,,
,,2NDPTS,FBPS,PITP,PTSOFFTO,%PTSFT,%PTSPITP,EFG%,TS%,%PTS2PT,%FGA2PT,%PTS3PT,%FGA3PT,AST/TO,PACE,POSS,OFFRTG,DEFRTG,NETRTG,,,2NDPTS,FBPS,PITP,PTSOFFTO,2NDPTS,FBPS,PITP,PTSOFFTO,EFG%,TS%,PACE,POSS,OFFRTG,DEFRTG,NETRTG
1,"
琉球ゴールデンキングス",663,394,1382,606.0,16.9%,43.5%,49.9%,53.8%,50.1%,57.9%,33.0%,42.1%,1.7,70.4,"2,745.9",115.8,106.3,9.5,琉球,39,17.0,10.1,35.4,15.5,1,22,13,9,21,19,24,24,7,4,4
2,"
名古屋ダイヤモンドドルフィンズ",593,613,1494,757.0,15.3%,45.9%,49.6%,52.8%,50.6%,59.7%,34.1%,40.3%,1.8,74.9,"2,921.3",111.3,97.1,14.2,名古屋D,39,15.2,15.7,38.3,19.4,2,3,5,2,22,23,4,4,14,1,2
3,"
富山グラウジーズ",580,570,1592,516.0,19.7%,49.6%,48.7%,53.0%,54.5%,65.3%,25.8%,34.7%,1.4,76.9,"2,999.5",106.9,116.8,-9.9,富山,39,14.9,14.6,40.8,13.2,3,7,2,22,23,22,2,2,20,25,23
4,"
レバンガ北海道",571,644,1690,588.0,17.0%,49.2%,54.0%,57.6%,56.2%,66.9%,26.8%,33.1%,1.8,74.0,"2,886.1",119.1,114.8,4.3,北海道,39,14.6,16.5,43.3,15.1,4,2,1,10,5,4,6,6,2,21,9
5,"
広島ドラゴンフライズ",536,516,1472,526.0,16.9%,43.9%,53.9%,56.9%,46.1%,53.3%,37.0%,46.7%,1.6,73.7,"2,875.1",116.6,112.6,4.0,広島,39,13.7,13.2,37.7,13.5,5,10,6,19,6,6,7,7,6,18,10
6,"
アルティーリ千葉",531,478,1540,521.0,15.1%,50.1%,51.8%,54.8%,54.6%,63.7%,30.2%,36.3%,1.4,73.3,"2,857.8",107.6,114.0,-6.4,A千葉,39,13.6,12.3,39.5,13.4,6,12,3,21,13,13,9,10,19,19,19
7,"
千葉ジェッツ",512,433,1392,473.0,16.4%,43.4%,52.8%,56.4%,48.2%,57.4%,35.4%,42.6%,1.7,71.5,"2,787.1",115.0,106.0,9.0,千葉J,39,13.1,11.1,35.7,12.1,7,20,12,26,9,7,21,21,8,3,5
8,"
サンロッカーズ渋谷",501,456,1208,481.0,16.7%,40.8%,48.4%,52.4%,50.6%,60.7%,32.7%,39.3%,1.8,70.2,"2,735.9",108.1,114.7,-6.6,SR渋谷,39,12.8,11.7,31.0,12.3,8,17,24,24,24,24,25,25,18,20,20
9,"
ファイティングイーグルス名古屋",499,589,1352,582.0,15.7%,42.9%,51.0%,54.4%,50.6%,58.6%,33.7%,41.4%,1.5,74.4,"2,902.3",108.6,111.2,-2.7,FE名古屋,39,12.8,15.1,34.7,14.9,9,5,16,11,17,16,5,5,17,13,15
10,"
宇都宮ブレックス",493,438,1340,570.0,13.5%,40.4%,55.6%,57.6%,43.4%,47.6%,43.1%,52.4%,1.9,72.0,"2,809.8",118.2,110.2,8.0,宇都宮,39,12.6,11.2,34.4,14.6,10,19,18,13,2,4,15,15,5,9,6
11,"
三遠ネオフェニックス",487,563,1468,659.0,18.2%,45.2%,52.8%,56.1%,46.8%,55.9%,34.9%,44.1%,1.6,73.3,"2,859.8",113.5,112.1,1.4,三遠,39,12.5,14.4,37.6,16.9,11,8,7,5,9,9,9,9,9,15,13
11,"
大阪エヴェッサ",487,593,1438,624.0,16.0%,46.3%,50.9%,54.3%,50.9%,57.3%,33.1%,42.7%,1.6,73.1,"2,850.8",109.0,111.7,-2.7,大阪,39,12.5,15.2,36.9,16.0,11,4,9,7,19,18,11,11,16,14,15
13,"
群馬クレインサンダーズ",484,378,1216,633.0,16.0%,37.8%,54.7%,58.4%,45.5%,53.1%,38.5%,46.9%,1.9,69.3,"2,702.4",119.1,108.2,10.9,群馬,39,12.4,9.7,31.2,16.2,13,25,23,6,4,2,26,26,2,6,3
14,"
滋賀レイクス",481,585,1436,575.0,16.5%,45.8%,51.6%,54.8%,48.5%,54.8%,35.0%,45.2%,1.3,75.3,"2,937.0",106.8,115.1,-8.3,滋賀,39,12.3,15.0,36.8,14.7,14,6,10,12,15,13,3,3,21,23,21
15,"
仙台89ERS",468,555,1350,670.0,15.1%,43.2%,51.7%,54.8%,47.5%,54.8%,37.4%,45.2%,1.6,71.7,"2,794.6",111.8,109.8,2.0,仙台,39,12.0,14.2,34.6,17.2,15,9,17,4,14,13,18,19,11,8,11
16,"
長崎ヴェルカ",458,660,1448,776.0,14.8%,39.9%,57.1%,60.2%,42.5%,50.4%,42.7%,49.6%,1.9,77.3,"3,013.0",120.3,100.6,19.7,長崎,39,11.7,16.9,37.1,19.9,16,1,8,1,1,1,1,1,1,2,1
17,"
アルバルク東京",456,312,1296,477.0,15.0%,41.4%,53.1%,55.8%,45.9%,55.1%,39.1%,44.9%,1.8,71.6,"2,793.0",112.1,107.3,4.8,A東京,39,11.7,8.0,33.2,12.2,17,26,22,25,7,10,20,20,10,5,8
18,"
京都ハンナリーズ",444,459,1152,623.0,14.4%,41.3%,47.6%,50.1%,48.7%,55.1%,36.9%,44.9%,1.3,71.7,"2,797.7",99.7,112.3,-12.7,京都,39,11.4,11.8,29.5,16.0,18,16,25,8,26,26,18,18,26,17,25
19,"
島根スサノオマジック",425,496,1496,563.0,15.9%,46.8%,53.0%,56.4%,51.1%,59.0%,33.0%,41.0%,1.8,73.5,"2,866.9",111.4,109.5,1.9,島根,39,10.9,12.7,38.4,14.4,19,11,4,15,8,7,8,8,13,7,12
19,"
佐賀バルーナーズ",425,475,1326,677.0,17.3%,41.7%,51.4%,55.6%,47.2%,53.1%,35.5%,46.9%,2.0,72.9,"2,842.7",111.8,112.1,-0.4,佐賀,39,10.9,12.2,34.0,17.4,19,13,21,3,16,11,13,13,11,15,14
21,"
シーホース三河",410,470,1426,543.0,15.4%,43.5%,55.0%,58.4%,46.3%,51.1%,38.3%,48.9%,1.9,70.8,"2,763.1",118.6,110.8,7.8,三河,39,10.5,12.1,36.6,13.9,21,14,11,17,3,2,23,23,4,11,7
22,"
横浜ビー・コルセアーズ",398,386,1380,535.0,14.3%,45.2%,52.2%,55.3%,52.8%,60.2%,32.8%,39.8%,1.6,71.3,"2,781.2",109.7,114.8,-5.1,横浜BC,39,10.2,9.9,35.4,13.7,22,24,15,18,11,12,22,22,15,21,17
23,"
秋田ノーザンハピネッツ",394,460,1330,526.0,15.7%,46.6%,48.0%,51.2%,51.8%,61.4%,32.5%,38.6%,1.5,72.5,"2,827.9",100.9,116.8,-15.9,秋田,39,10.1,11.8,34.1,13.5,23,15,20,19,25,25,14,14,25,25,26
24,"
茨城ロボッツ",389,427,1382,506.0,15.4%,47.1%,51.0%,53.7%,53.4%,60.6%,31.2%,39.4%,1.5,72.0,"2,806.7",104.5,110.9,-6.3,茨城,39,10.0,10.9,35.4,13.0,24,21,13,23,17,20,15,17,22,12,18
25,"
川崎ブレイブサンダース",379,449,1334,569.0,13.2%,45.1%,51.9%,54.4%,50.2%,57.5%,36.5%,42.5%,1.5,73.0,"2,846.8",103.8,115.6,-11.8,川崎,39,9.7,11.5,34.2,14.6,25,18,19,14,12,16,12,12,23,24,24
26,"
越谷アルファーズ",330,389,1122,546.0,14.2%,39.4%,50.8%,53.7%,45.8%,54.8%,40.0%,45.2%,1.4,72.0,"2,808.3",101.5,110.3,-8.8,越谷,39,8.5,10.0,28.8,14.0,26,23,26,16,20,20,15,16,24,10,22
,,476.7,491.8,1387.0,581.6,,,,,,,,,,,,,,,,39,12.2,12.6,35.6,14.9,,,,,,,,,,,
