number	name_ja	name_en	height_cm
2	今野 海輝	Mitsuki Konno	176
3	山本 愛哉	Manaya Yamamoto	163
5	クリス・エブ・ンドウ	Chris-Ebou Ndow	199
6	上村 大佐	Taisuke Uemura	190
7	渡久地 政睦	Masachika Toguchi	175
11	増田 啓介	Keisuke Masuda	194
14	柏倉 哲平	Teppei Kashiwagura	180
16	橋本 尚明	Naoaki Hashimoto	184
21	ケニー・ローソン・ジュニア	KennyLawson Jr.	207
22	バローン マーテル	Martel Barone	194
25	鍋田 隆征	Ryusei Nabeta	175
26	アンガス・ブラント	Angus Brandt	208
30	サイモン 拓海	Takumi Simon	190
33	林 翔太郎	Shotaro Hayashi	195
41	加納 誠也	Seiya Kanou	196
88	松田 颯	Fu Matsuda	191
0	橋本 竜馬	Ryoma Hashimoto	178
