number	name_ja	name_en	height_cm
1	渡邊 雄太	Yuta Watanabe	206
2	富樫 勇樹	Yuki Togashi	167
4	田代 直希	Naoki Tashiro	188
5	瀬川 琉久	Riku Segawa	185
6	菅野 ブルース	Bruce Kanno	200
7	マイケル・オウ	Michael Ou	208
8	ナシール・リトル	Nassir Little	199
9	二上 耀	Hikaru Futagami	190
10	ディー・ジェイ・ホグ	D.J.Hogg	207
11	西村 文男	Fumio Nishimura	177
12	金近 廉	Ren Kanechika	197
13	深水 虎太郎	Kotaro Fukami	187
25	荒尾 岳	Gaku Arao	198
31	原 修太	Shuta Hara	187
33	ジョン・ムーニー	John Mooney	206
34	ジェフ・ギブス	Jeff Gibbs	188
42	クエンティン・ミロラ・ブラウン	Quentin Millora-Brown	208
44	加藤 ダニエル	Daniel Kato	204
